t,real_count,mean_estimate,sigma
1,9711,99292,16.0842
2,19358,104168,30.1752
3,28970,109202,29.5433
4,38557,114398,55.5748
5,48093,119713,65.7032
6,57634,125196,81.4886
7,67176,130841,111.753
8,76677,136615,106.966
9,86212,142578,120.146
10,95675,148609,129.994
11,105127,154809,165.977
12,114572,161177,149.879
13,123990,167667,198.306
14,133381,174247,212.701
15,142845,181056,249.731
16,152337,188008,259.294
17,161751,195043,261.207
18,171137,202173,304.819
19,180571,209430,277.98
20,189972,216820,342.085
21,199364,224295,407.783
22,208716,231845,403.563
23,218092,239525,468.803
24,227473,247288,490.334
25,236870,255181,498.496
26,246275,263157,524.246
27,255629,271228,496.311
28,265011,279413,506.348
29,274397,287704,504.441
30,283775,295994,580.303
31,293137,304413,586.311
32,302483,312867,601.955
33,311847,321301,718.139
34,321256,329919,766.172
35,330521,338401,762.385
36,339891,347172,727.369
37,349250,355914,883.529
38,358559,364605,915.284
39,367904,373428,957.04
40,377237,382264,932.153
41,386556,390967,904.15
42,395916,399859,986.739
43,405244,408777,902.881
44,414557,417708,914.588
45,423876,426732,904.207
46,433256,435659,973.263
47,442613,444690,905.796
48,451934,453789,832.167
49,461216,462832,774.925
50,470513,471944,766.789
51,479792,480971,1027.48
52,489112,490259,1041.2
53,498439,499413,1003.44
54,507751,508605,1007.61
55,517083,517900,1050.98
56,526426,527115,1058.57
57,535711,536263,1041.99
58,544993,545359,1113.35
59,554277,554537,1183.57
60,563630,563997,1196.28
61,572932,573258,1211.87
62,582246,582315,1158.41
63,591543,591553,1167.98
64,600785,600809,1213.1
65,610107,610054,1082.13
66,619371,619397,1213.77
67,628688,628628,1067.78
68,637962,637883,1074.64
69,647294,647403,1261.31
70,656570,656807,1260.29
71,665859,666097,1367.96
72,675129,675312,1404.82
73,684435,684571,1458.55
74,693698,694012,1327.29
75,702999,703490,1446.47
76,712279,712893,1559.89
77,721527,722191,1568.13
78,730805,731418,1780.16
79,740139,740715,1720.31
80,749443,749995,1617.3
81,758761,759481,1609.16
82,768080,768702,1606.83
83,777388,777982,1751.09
84,786676,787248,1753.22
85,795958,796530,1788.32
86,805248,805897,1736.06
87,814578,815225,1996.59
88,823886,824555,1945.24
89,833189,833605,1978.28
90,842501,843189,1893.57
91,851793,852678,1832.88
92,861074,861902,1800
93,870392,871211,1642.51
94,879691,880431,1807.74
95,889013,889798,1851.38
96,898295,898957,1984.97
97,907599,908265,1957.44
98,916923,917674,1866.81
99,926227,926824,1697.31
100,935500,936269,1650.48
