t,real_count,hll_estimate
1,9743,99331.7
2,19338,104149
3,28970,109173
4,38552,114387
5,48064,119693
6,57593,125123
7,67129,130789
8,76586,136557
9,86084,142484
10,95582,148537
11,105041,154758
12,114481,161012
13,123903,167609
14,133330,174255
15,142769,181166
16,152169,188074
17,161576,195138
18,170919,202070
19,180264,209359
20,189634,216731
21,199013,224237
22,208381,231867
23,217786,239740
24,227153,247628
25,236536,255423
26,245923,263492
27,255299,271380
28,264664,279441
29,273991,287815
30,283287,296261
31,292603,304912
32,301944,313511
33,311301,321782
34,320656,330575
35,329984,339076
36,339298,347733
37,348554,356498
38,357939,365348
39,367256,373853
40,376572,382541
41,385934,391773
42,395225,400607
43,404541,409365
44,413838,418329
45,423163,427511
46,432502,436567
47,441822,445786
48,451180,454825
49,460521,464577
50,469811,473427
51,479143,482652
52,488471,491249
53,497781,500360
54,507088,509600
55,516355,518722
56,525659,527532
57,534949,536877
58,544233,545754
59,553543,554939
60,562831,563921
61,572151,572975
62,581436,582143
63,590731,591151
64,600066,600110
65,609359,609708
66,618651,618834
67,627977,627749
68,637290,637507
69,646618,646668
70,655881,656215
71,665187,665175
72,674506,675101
73,683790,684904
74,693071,694107
75,702382,703836
76,711630,712439
77,720921,721680
78,730213,731188
79,739525,740316
80,748843,749941
81,758185,760110
82,767479,769397
83,776806,778737
84,786087,787878
85,795400,796833
86,804696,806244
87,813980,815559
88,823330,824947
89,832650,834395
90,841988,843763
91,851258,853177
92,860542,861564
93,869829,870112
94,879100,878742
95,888404,888521
96,897758,898377
97,907049,907884
98,916383,917514
99,925668,927016
100,934985,936308
