t,real_count,hll_estimate,err
1,9682,9663.64,0.00189595
2,19270,19255.6,0.00074641
3,28877,28795.7,0.00281703
4,38445,38367.4,0.00201868
5,48044,48060.1,0.00033409
6,57594,57577.2,0.000291366
7,67135,67188.8,0.00080154
8,76659,76747.1,0.00114933
9,86141,86195.9,0.000637124
10,95613,95642.7,0.000310344
11,105124,105035,0.000851093
12,114566,114676,0.000958915
13,124013,124128,0.000929987
14,133492,133726,0.00175625
15,142904,143242,0.00236864
16,152358,152482,0.000814565
17,161760,162209,0.00277498
18,171151,171471,0.00186677
19,180553,181225,0.00372329
20,189894,190215,0.00168925
21,199297,199504,0.00103906
22,208707,208964,0.00123329
23,218068,218418,0.00160446
24,227450,227859,0.00179932
25,236785,237139,0.00149665
26,246157,246752,0.00241684
27,255558,256289,0.00286093
28,264885,265745,0.00324547
29,274291,275199,0.00331043
30,283633,284737,0.00389386
31,292977,294069,0.00372806
32,302302,303285,0.00325093
33,311636,313045,0.00452107
34,320989,330316,0.0290573
35,330377,339003,0.0261092
36,339717,347523,0.022977
37,349076,356175,0.0203373
38,358404,364782,0.0177953
39,367757,373700,0.0161589
40,377116,382579,0.0144854
41,386445,391762,0.0137597
42,395698,400278,0.0115742
43,405029,409526,0.0111033
44,414341,418524,0.0100968
45,423698,427467,0.00889507
46,433008,437130,0.0095198
47,442345,446514,0.00942423
48,451690,455499,0.00843207
49,461003,464434,0.00744188
50,470314,473249,0.00624056
51,479608,482543,0.0061192
52,488946,491824,0.00588594
53,498242,500996,0.00552809
54,507559,509592,0.00400485
55,516859,518430,0.00304034
56,526164,527522,0.00258126
57,535431,536646,0.00226865
58,544704,545583,0.00161356
59,553970,554518,0.000989426
60,563295,563198,0.000171763
61,572575,572250,0.000567137
62,581848,580798,0.00180518
63,591150,590179,0.00164339
64,600472,599264,0.00201229
65,609791,608639,0.00188962
66,619149,618048,0.00177791
67,628485,627531,0.00151863
68,637801,636954,0.00132854
69,647046,646106,0.00145259
70,656352,655534,0.00124615
71,665664,664842,0.00123467
72,675008,673860,0.00170116
73,684289,682686,0.00234185
74,693563,691875,0.00243391
75,702857,701044,0.00257976
76,712166,710583,0.00222303
77,721518,720273,0.00172622
78,730831,729122,0.00233821
79,740157,738827,0.00179661
80,749455,747588,0.00249098
81,758751,756553,0.0028964
82,768053,765543,0.00326781
83,777362,775527,0.00236029
84,786662,784303,0.00299839
85,795919,793784,0.00268295
86,805159,802704,0.00304888
87,814464,811779,0.00329679
88,823809,821964,0.00224011
89,833110,831162,0.00233795
90,842449,839703,0.00325901
91,851734,849213,0.00296
92,861049,858958,0.00242879
93,870350,868168,0.00250686
94,879626,877975,0.00187685
95,888936,887538,0.00157247
96,898263,897060,0.00133922
97,907554,906680,0.000963134
98,916813,916149,0.000724148
99,926083,925484,0.000646994
100,935352,934188,0.00124445
